Block,Treatment,R0,Tc,est.r,Program
1,16,1449.916667,24.13914593,0.301554222,dtr9
1,20,1773.95,17.41603954,0.429544499,dtr9
1,24,2878.179825,14.51499074,0.548737062,dtr9
1,28,3541.783333,8.639974213,0.945880791,dtr9
1,32,1378.8,5.872437385,1.23099973,dtr9
2,16,1375.430303,29.74541962,0.242945704,dtr9
2,20,2293.044602,27.86027874,0.277730019,dtr9
2,24,4092.145238,19.35378638,0.42972597,dtr9
2,28,3017.683333,14.59211536,0.549080411,dtr9
2,32,1118.833333,8.572337256,0.818918055,dtr9
