Block,Treatment,R0,Tc,est.r,Program
2,16,1932.91705,26.34531528,0.287215601,constant
2,20,2505.865078,26.36728194,0.296821997,constant
2,24,6317.119413,21.37616477,0.409382071,constant
2,28,2857.354861,16.90951786,0.470601922,constant
2,32,1516.028536,8.765964029,0.835487046,constant
2,36,961.0578818,4.54810718,1.510086365,constant
3,16,1089.901389,22.85398399,0.306022902,constant
3,20,2698.9,23.81462818,0.331754059,constant
3,24,3666.285119,19.93497505,0.4116852,constant
3,28,2003.363616,13.52429531,0.562142624,constant
4,28,5241.053472,18.33039795,0.467217232,constant
5,32,2841.689655,9.813333495,0.810341777,constant
5,36,749.8387097,5.849795655,1.131639209,constant
