Block,Treatment,R0,Tc,est.r,Program
1,16,1897.766667,27.15881826,0.277936726,dtr12
1,20,2263.241379,20.62058537,0.374603978,dtr12
1,24,3127.583333,16.10715941,0.499654575,dtr12
1,28,3522.316667,9.332527361,0.875097804,dtr12
1,32,1028.3,6.205111997,1.11773361,dtr12
2,16,1415.666667,30.58584883,0.237212833,dtr12
2,20,1658.766667,26.09144344,0.28414793,dtr12
2,24,3291.716667,16.29514995,0.497029148,dtr12
2,28,2223.811905,12.19336596,0.632063214,dtr12
2,32,1101.933333,7.859368383,0.891270284,dtr12
