temp,time,n.risk,n.event,survival,st.error,lower.CI,upper.CI
24,36,37,1,0.633,0.0638,0.5194,0.771
24,37,36,2,0.598,0.0649,0.4831,0.739
24,38,34,3,0.545,0.0659,0.4299,0.691
24,40,31,1,0.527,0.0661,0.4125,0.674
24,41,30,1,0.51,0.0662,0.3952,0.658
24,42,29,1,0.492,0.0662,0.3781,0.641
24,44,28,2,0.457,0.066,0.3444,0.607
24,45,26,2,0.422,0.0654,0.3113,0.572
24,46,24,1,0.404,0.065,0.295,0.554
24,47,23,1,0.387,0.0645,0.2788,0.536
24,49,22,2,0.352,0.0633,0.2471,0.5
24,51,20,1,0.334,0.0625,0.2314,0.482
24,52,19,2,0.299,0.0607,0.2007,0.445
24,53,17,2,0.264,0.0584,0.1708,0.407
24,54,15,2,0.229,0.0557,0.1418,0.368
24,55,13,1,0.211,0.0541,0.1276,0.349
24,56,12,1,0.193,0.0523,0.1137,0.329
24,57,11,1,0.176,0.0505,0.1002,0.309
24,58,10,3,0.123,0.0435,0.0615,0.246
28,0,90,0,1,0,1,1
28,1,90,1,0.9889,0.011,0.96747,1
28,3,89,1,0.9778,0.0155,0.94779,1
28,4,88,3,0.9444,0.0241,0.89829,0.993
28,6,85,1,0.9333,0.0263,0.8832,0.9863
28,8,83,1,0.9221,0.0283,0.86829,0.9792
28,9,82,1,0.9108,0.0301,0.85374,0.9718
28,11,81,1,0.8996,0.0317,0.83948,0.964
28,13,79,3,0.8654,0.0362,0.7974,0.9393
28,14,76,3,0.8313,0.0397,0.75692,0.9129
28,15,73,5,0.7743,0.0444,0.69196,0.8665
28,16,67,2,0.7512,0.046,0.66624,0.8471
28,17,65,1,0.7397,0.0467,0.65351,0.8372
28,18,64,1,0.7281,0.0474,0.64086,0.8272
28,19,63,2,0.705,0.0486,0.61582,0.8071
28,21,60,5,0.6462,0.0512,0.5533,0.7548
28,23,55,2,0.6227,0.052,0.52879,0.7334
28,24,53,1,0.611,0.0523,0.51664,0.7226
28,25,52,1,0.5992,0.0526,0.50455,0.7117
28,26,51,1,0.5875,0.0529,0.49252,0.7008
28,29,50,4,0.5405,0.0536,0.44502,0.6564
28,30,46,2,0.517,0.0538,0.42164,0.6339
28,31,44,1,0.5052,0.0538,0.41003,0.6226
28,32,43,4,0.4582,0.0537,0.3642,0.5766
28,33,39,1,0.4465,0.0536,0.35289,0.5649
28,34,38,1,0.4347,0.0535,0.34164,0.5532
28,36,37,1,0.423,0.0533,0.33044,0.5415
28,37,36,3,0.3877,0.0526,0.29723,0.5058
28,38,33,5,0.329,0.0508,0.24314,0.4452
28,39,28,2,0.3055,0.0498,0.22197,0.4205
28,40,26,1,0.2937,0.0492,0.2115,0.408
28,41,25,4,0.2467,0.0466,0.17037,0.3574
28,42,21,1,0.235,0.0459,0.1603,0.3445
28,44,20,6,0.1645,0.0401,0.10197,0.2654
28,45,14,6,0.094,0.0316,0.04863,0.1817
28,47,8,1,0.0822,0.0298,0.04047,0.1672
28,48,7,1,0.0705,0.0277,0.03261,0.1524
28,49,6,2,0.047,0.0229,0.01806,0.1223
28,51,4,1,0.0352,0.02,0.0116,0.1071
28,52,3,2,0.0117,0.0117,0.00167,0.0824
28,57,1,1,0,0,0,0
32,0,60,0,1,0,1,1
32,1,60,5,0.9167,0.0357,0.84933,0.989
32,3,55,1,0.9,0.0387,0.8272,0.979
32,5,54,3,0.85,0.0461,0.76429,0.945
32,7,51,3,0.8,0.0516,0.70493,0.908
32,8,48,3,0.75,0.0559,0.64806,0.868
32,9,45,1,0.7333,0.0571,0.62956,0.854
32,10,44,3,0.6833,0.0601,0.57521,0.812
32,11,41,3,0.6333,0.0622,0.52242,0.768
32,12,38,4,0.5667,0.064,0.45418,0.707
32,13,34,1,0.55,0.0642,0.43749,0.691
32,14,33,2,0.5167,0.0645,0.40451,0.66
32,15,30,3,0.465,0.0646,0.35417,0.611
32,16,27,1,0.4478,0.0645,0.33771,0.594
32,17,26,2,0.4133,0.0639,0.30524,0.56
32,19,24,4,0.3444,0.0619,0.24224,0.49
32,20,20,1,0.3272,0.0611,0.22691,0.472
32,21,19,2,0.2928,0.0593,0.19679,0.436
32,22,17,3,0.2411,0.0559,0.15311,0.38
32,23,14,3,0.1894,0.0512,0.11149,0.322
32,26,11,1,0.1722,0.0494,0.09817,0.302
32,27,10,1,0.155,0.0474,0.08516,0.282
32,28,9,1,0.1378,0.0451,0.07251,0.262
32,29,8,2,0.1033,0.0399,0.0485,0.22
32,30,6,1,0.0861,0.0368,0.0373,0.199
32,32,5,2,0.0517,0.029,0.01718,0.155
32,33,3,2,0.0172,0.0171,0.00247,0.12
32,35,1,1,0,0,0,0
36,0,60,0,1,0,1,1
36,1,60,2,0.9667,0.0232,0.9223,1
36,2,58,1,0.95,0.0281,0.89642,1
36,3,57,3,0.9,0.0387,0.8272,0.979
36,4,54,5,0.8167,0.05,0.7244,0.921
36,5,49,3,0.7667,0.0546,0.66678,0.882
36,6,45,4,0.6985,0.0594,0.59122,0.825
36,7,41,1,0.6815,0.0604,0.57284,0.811
36,8,39,3,0.6291,0.0629,0.51716,0.765
36,9,36,2,0.5941,0.064,0.48096,0.734
36,10,34,4,0.5242,0.0654,0.41057,0.669
36,11,30,10,0.3495,0.0627,0.24584,0.497
36,12,20,5,0.2621,0.0579,0.16994,0.404
36,13,15,4,0.1922,0.052,0.11314,0.327
36,14,11,6,0.0874,0.0373,0.03785,0.202
36,15,5,3,0.0349,0.0243,0.00896,0.136
36,16,2,2,0,0,0,0
