temp,time,n.risk,n.event,survival,st.error,lower.CI,upper.CI
16,0,60,0,1,0,1,1
16,1,60,1,0.983,0.0165,0.9515,1
16,2,59,1,0.967,0.0232,0.9223,1
16,6,58,1,0.95,0.0281,0.8964,1
16,13,57,1,0.933,0.0322,0.8723,0.999
16,16,56,1,0.917,0.0357,0.8493,0.989
16,18,54,1,0.9,0.0388,0.8267,0.979
16,20,53,2,0.866,0.0442,0.7833,0.957
16,21,51,5,0.781,0.0537,0.6823,0.894
16,22,46,4,0.713,0.0588,0.6065,0.838
16,23,42,1,0.696,0.0598,0.5881,0.824
16,24,41,2,0.662,0.0615,0.5518,0.794
16,25,39,2,0.628,0.0629,0.5162,0.764
16,29,36,2,0.593,0.064,0.4801,0.733
16,32,33,1,0.575,0.0646,0.4616,0.717
16,34,32,1,0.557,0.065,0.4433,0.7
16,36,30,2,0.52,0.0658,0.4059,0.666
16,38,26,1,0.5,0.0662,0.3858,0.648
16,40,25,1,0.48,0.0665,0.3659,0.63
16,41,24,3,0.42,0.0666,0.3078,0.573
16,44,21,2,0.38,0.066,0.2704,0.534
16,45,19,3,0.32,0.064,0.2162,0.474
16,47,16,2,0.28,0.062,0.1815,0.432
16,48,14,1,0.26,0.0607,0.1646,0.411
16,51,13,1,0.24,0.0592,0.148,0.389
16,52,12,1,0.22,0.0576,0.1318,0.367
16,53,11,1,0.2,0.0557,0.1159,0.345
16,55,10,1,0.18,0.0536,0.1004,0.323
16,57,9,1,0.16,0.0512,0.0854,0.3
16,59,8,1,0.14,0.0486,0.0709,0.276
20,0,60,0,1,0,1,1
20,2,60,1,0.983,0.0165,0.951,1
20,8,58,1,0.966,0.0234,0.922,1
20,11,57,1,0.949,0.0285,0.895,1
20,12,56,1,0.932,0.0326,0.871,0.999
20,15,55,2,0.899,0.0393,0.825,0.979
20,16,53,2,0.865,0.0445,0.782,0.956
20,24,51,1,0.848,0.0467,0.761,0.944
20,25,50,1,0.831,0.0488,0.74,0.932
20,28,48,1,0.813,0.0508,0.72,0.919
20,31,46,2,0.778,0.0544,0.679,0.892
20,33,44,1,0.76,0.0559,0.658,0.878
20,35,42,1,0.742,0.0574,0.638,0.864
20,36,41,2,0.706,0.0601,0.598,0.834
20,37,39,3,0.652,0.0631,0.539,0.788
20,39,36,3,0.597,0.0652,0.482,0.74
20,40,33,3,0.543,0.0664,0.427,0.69
20,41,30,1,0.525,0.0666,0.409,0.673
20,43,29,1,0.507,0.0667,0.392,0.656
20,45,28,1,0.489,0.0667,0.374,0.639
20,46,27,1,0.471,0.0667,0.357,0.621
20,48,26,1,0.453,0.0665,0.339,0.604
20,49,25,2,0.416,0.0659,0.305,0.568
20,50,23,1,0.398,0.0655,0.289,0.55
20,51,22,2,0.362,0.0644,0.256,0.513
20,52,20,2,0.326,0.0628,0.223,0.475
20,54,18,2,0.29,0.0608,0.192,0.437
20,55,16,2,0.253,0.0584,0.161,0.398
20,56,14,1,0.235,0.0569,0.146,0.378
20,58,13,1,0.217,0.0554,0.132,0.358
20,59,12,1,0.199,0.0536,0.117,0.338
24,0,60,0,1,0,1,1
24,12,59,1,0.983,0.0168,0.9507,1
24,13,57,1,0.966,0.0238,0.9203,1
24,14,56,1,0.949,0.0289,0.8935,1
24,16,55,1,0.931,0.0331,0.8686,0.999
24,19,54,1,0.914,0.0367,0.8448,0.989
24,22,52,2,0.879,0.0429,0.7987,0.967
24,23,50,3,0.826,0.05,0.7338,0.93
24,27,47,1,0.809,0.0519,0.713,0.917
24,28,46,3,0.756,0.0568,0.6524,0.876
24,30,43,2,0.721,0.0593,0.6133,0.847
24,31,41,1,0.703,0.0604,0.5941,0.832
24,33,40,2,0.668,0.0623,0.5564,0.802
24,34,38,1,0.65,0.0631,0.5378,0.787
