temp,time,n.risk,n.event,survival,st.error,lower.CI,upper.CI
16,72,6,1,0.125,0.0447,0.06204,0.252
16,76,5,1,0.1,0.0422,0.04376,0.229
16,80,4,1,0.075,0.0383,0.02755,0.204
16,84,3,1,0.05,0.0327,0.01388,0.18
16,97,2,1,0.025,0.0241,0.00378,0.165
16,100,1,1,0,0,0,0
20,0,60,0,1,0,1,1
20,3,60,1,0.9833,0.0165,0.9515,1
20,5,59,2,0.95,0.0281,0.8964,1
20,7,56,1,0.933,0.0323,0.8717,0.999
20,10,55,1,0.9161,0.0359,0.8483,0.989
20,13,54,1,0.8991,0.0391,0.8257,0.979
20,14,53,1,0.8821,0.0419,0.8038,0.968
20,15,52,5,0.7973,0.0523,0.7012,0.907
20,17,47,1,0.7804,0.0538,0.6817,0.893
20,18,46,1,0.7634,0.0553,0.6624,0.88
20,19,45,1,0.7464,0.0566,0.6434,0.866
20,21,44,1,0.7295,0.0578,0.6246,0.852
20,22,43,1,0.7125,0.0589,0.606,0.838
20,23,42,1,0.6955,0.0599,0.5876,0.823
20,25,41,2,0.6616,0.0616,0.5513,0.794
20,28,39,4,0.5937,0.0639,0.4808,0.733
20,33,35,1,0.5768,0.0643,0.4636,0.718
20,34,34,1,0.5598,0.0646,0.4465,0.702
20,36,33,1,0.5429,0.0648,0.4295,0.686
20,38,32,1,0.5259,0.065,0.4127,0.67
20,41,31,1,0.5089,0.0651,0.3961,0.654
20,43,30,1,0.492,0.0651,0.3796,0.638
20,44,29,1,0.475,0.065,0.3632,0.621
20,45,28,2,0.4411,0.0646,0.3309,0.588
20,50,26,1,0.4241,0.0643,0.315,0.571
20,51,25,2,0.3902,0.0635,0.2836,0.537
20,52,23,4,0.3223,0.0609,0.2226,0.467
20,53,19,1,0.3054,0.06,0.2078,0.449
20,54,18,2,0.2714,0.0579,0.1787,0.412
20,56,16,1,0.2545,0.0567,0.1644,0.394
20,57,15,1,0.2375,0.0554,0.1503,0.375
20,58,14,2,0.2036,0.0524,0.1229,0.337
20,59,12,1,0.1866,0.0507,0.1095,0.318
20,61,11,2,0.1527,0.0468,0.0837,0.279
20,62,9,1,0.1357,0.0446,0.0713,0.258
20,63,8,1,0.1187,0.0421,0.0592,0.238
20,65,7,1,0.1018,0.0394,0.0477,0.217
20,76,6,1,0.0848,0.0363,0.0367,0.196
20,77,5,1,0.0679,0.0328,0.0263,0.175
20,94,4,1,0.0509,0.0286,0.0169,0.153
20,98,3,3,0,0,0,0
24,0,60,0,1,0,1,1
24,3,60,2,0.9667,0.0232,0.9223,1
24,5,58,2,0.9333,0.0322,0.8723,0.999
24,9,56,2,0.9,0.0387,0.8272,0.979
24,10,54,1,0.8833,0.0414,0.80573,0.968
24,12,53,1,0.8667,0.0439,0.78478,0.957
24,13,52,2,0.8333,0.0481,0.74417,0.933
24,14,50,2,0.8,0.0516,0.70493,0.908
24,15,48,2,0.7667,0.0546,0.66678,0.882
24,16,46,7,0.65,0.0616,0.53985,0.783
24,19,39,2,0.6167,0.0628,0.50514,0.753
24,20,37,1,0.6,0.0632,0.48801,0.738
24,21,36,1,0.5833,0.0636,0.47102,0.722
24,23,35,1,0.5667,0.064,0.45418,0.707
24,24,34,1,0.55,0.0642,0.43749,0.691
24,25,33,1,0.5333,0.0644,0.42093,0.676
24,26,32,1,0.5167,0.0645,0.40451,0.66
24,27,31,2,0.4833,0.0645,0.37208,0.628
24,30,29,1,0.4667,0.0644,0.35607,0.612
24,33,28,1,0.45,0.0642,0.34019,0.595
24,35,27,1,0.4333,0.064,0.32446,0.579
24,37,26,2,0.4,0.0632,0.29341,0.545
24,38,24,1,0.3833,0.0628,0.2781,0.528
24,39,23,1,0.3667,0.0622,0.26293,0.511
24,40,22,1,0.35,0.0616,0.24792,0.494
24,41,21,1,0.3333,0.0609,0.23306,0.477
24,43,20,1,0.3167,0.0601,0.21836,0.459
24,44,19,2,0.2833,0.0582,0.18946,0.424
24,45,17,1,0.2667,0.0571,0.17528,0.406
24,46,16,1,0.25,0.0559,0.16129,0.388
24,49,15,3,0.2,0.0516,0.12057,0.332
24,50,12,1,0.1833,0.05,0.10748,0.313
24,51,11,3,0.1333,0.0439,0.06995,0.254
24,53,8,3,0.0833,0.0357,0.036,0.193
24,56,5,1,0.0667,0.0322,0.02587,0.172
24,59,4,1,0.05,0.0281,0.01659,0.151
24,61,3,1,0.0333,0.0232,0.00853,0.13
24,77,2,1,0.0167,0.0165,0.00239,0.116
24,80,1,1,0,0,0,0
28,0,60,0,1,0,1,1
28,2,60,2,0.9667,0.0232,0.9223,1
28,4,58,3,0.9167,0.0357,0.84933,0.989
28,5,55,1,0.9,0.0387,0.8272,0.979
28,6,54,1,0.8833,0.0414,0.80573,0.968
28,7,53,3,0.8333,0.0481,0.74417,0.933
28,8,50,3,0.7833,0.0532,0.68573,0.895
28,13,46,1,0.7663,0.0547,0.66628,0.881
28,14,45,2,0.7322,0.0573,0.6281,0.854
28,15,43,6,0.6301,0.0627,0.51845,0.766
28,16,37,4,0.562,0.0645,0.44875,0.704
28,17,33,5,0.4768,0.065,0.36501,0.623
28,18,28,1,0.4598,0.0649,0.3487,0.606
28,19,27,2,0.4257,0.0644,0.31652,0.573
28,20,25,3,0.3746,0.0631,0.26937,0.521
28,23,22,1,0.3576,0.0624,0.25397,0.504
28,24,21,1,0.3406,0.0617,0.23872,0.486
28,25,20,2,0.3065,0.0601,0.20874,0.45
28,26,18,1,0.2895,0.0591,0.19401,0.432
28,27,17,2,0.2554,0.0569,0.16513,0.395
28,32,15,2,0.2214,0.0541,0.13708,0.357
28,33,13,2,0.1873,0.0509,0.11,0.319
28,35,11,2,0.1533,0.047,0.08404,0.279
28,36,9,1,0.1362,0.0447,0.07157,0.259
28,38,8,1,0.1192,0.0423,0.05949,0.239
28,39,7,1,0.1022,0.0395,0.04788,0.218
28,40,6,1,0.0851,0.0364,0.03683,0.197
28,42,5,1,0.0681,0.0329,0.02645,0.175
28,43,4,1,0.0511,0.0287,0.01697,0.154
28,44,3,1,0.0341,0.0237,0.00872,0.133
28,52,2,1,0.017,0.0169,0.00244,0.119
28,53,1,1,0,0,0,0
32,0,60,0,1,0,1,1
32,1,60,5,0.9167,0.0357,0.84933,0.989
32,2,55,4,0.85,0.0461,0.76429,0.945
32,3,51,4,0.7833,0.0532,0.68573,0.895
32,5,47,5,0.7,0.0592,0.59314,0.826
32,6,42,2,0.6667,0.0609,0.55745,0.797
32,7,40,1,0.65,0.0616,0.53985,0.783
32,9,39,1,0.6333,0.0622,0.52242,0.768
32,10,38,2,0.6,0.0632,0.48801,0.738
32,11,36,2,0.5667,0.064,0.45418,0.707
32,12,34,6,0.4667,0.0644,0.35607,0.612
32,13,28,2,0.4333,0.064,0.32446,0.579
32,14,26,4,0.3667,0.0622,0.26293,0.511
32,15,22,5,0.2833,0.0582,0.18946,0.424
32,16,17,2,0.25,0.0559,0.16129,0.388
32,17,15,2,0.2167,0.0532,0.13392,0.351
32,18,13,1,0.2,0.0516,0.12057,0.332
32,19,12,4,0.1333,0.0439,0.06995,0.254
32,20,8,2,0.1,0.0387,0.04681,0.214
32,21,6,3,0.05,0.0281,0.01659,0.151
32,24,3,1,0.0333,0.0232,0.00853,0.13
32,25,2,2,0,0,0,0
