temp,time,n.risk,n.event,survival,st.error,lower.CI,upper.CI
16,0,60,0,1,0,1,1
16,10,60,1,0.983,0.0165,0.95147,1
16,11,59,1,0.967,0.0232,0.9223,1
16,12,58,1,0.95,0.0281,0.89642,1
16,14,57,1,0.933,0.0322,0.8723,0.999
16,15,56,2,0.9,0.0387,0.8272,0.979
16,17,54,1,0.883,0.0414,0.80573,0.968
16,20,53,2,0.85,0.0461,0.76429,0.945
16,21,51,1,0.833,0.0481,0.74417,0.933
16,23,50,1,0.817,0.05,0.7244,0.921
16,25,49,1,0.8,0.0516,0.70493,0.908
16,26,48,3,0.75,0.0559,0.64806,0.868
16,30,45,1,0.733,0.0571,0.62956,0.854
16,33,44,2,0.7,0.0592,0.59314,0.826
16,34,42,1,0.683,0.0601,0.57521,0.812
16,35,41,1,0.667,0.0609,0.55745,0.797
16,36,40,1,0.65,0.0616,0.53985,0.783
16,37,39,1,0.633,0.0622,0.52242,0.768
16,39,38,1,0.617,0.0628,0.50514,0.753
16,41,37,1,0.6,0.0632,0.48801,0.738
16,43,36,1,0.583,0.0636,0.47102,0.722
16,44,35,1,0.567,0.064,0.45418,0.707
16,46,34,1,0.55,0.0642,0.43749,0.691
16,49,33,1,0.533,0.0644,0.42093,0.676
16,50,32,1,0.517,0.0645,0.40451,0.66
16,51,31,1,0.5,0.0645,0.38822,0.644
16,52,30,1,0.483,0.0645,0.37208,0.628
16,54,29,1,0.467,0.0644,0.35607,0.612
16,55,28,1,0.45,0.0642,0.34019,0.595
16,56,27,1,0.433,0.064,0.32446,0.579
16,57,26,2,0.4,0.0632,0.29341,0.545
16,58,24,1,0.383,0.0628,0.2781,0.528
16,59,23,1,0.367,0.0622,0.26293,0.511
16,61,22,2,0.333,0.0609,0.23306,0.477
16,62,20,2,0.3,0.0592,0.20383,0.442
16,63,18,1,0.283,0.0582,0.18946,0.424
16,64,17,1,0.267,0.0571,0.17528,0.406
16,66,16,2,0.233,0.0546,0.1475,0.369
16,67,14,2,0.2,0.0516,0.12057,0.332
16,68,12,2,0.167,0.0481,0.09465,0.293
16,69,10,1,0.15,0.0461,0.08213,0.274
