temp,time,n.risk,n.event,survival,st.error,lower.CI,upper.CI
28,40,7,2,0.0833,0.0357,0.036,0.193
28,42,5,3,0.0333,0.0232,0.00853,0.13
28,44,2,1,0.0167,0.0165,0.00239,0.116
28,45,1,1,0,0,0,0
32,0,60,0,1,0,1,1
32,1,60,1,0.9833,0.0165,0.95147,1
32,2,59,1,0.9667,0.0232,0.9223,1
32,3,58,4,0.9,0.0387,0.8272,0.979
32,4,54,1,0.8833,0.0414,0.80573,0.968
32,5,53,2,0.85,0.0461,0.76429,0.945
32,6,51,1,0.8333,0.0481,0.74417,0.933
32,7,50,4,0.7667,0.0546,0.66678,0.882
32,8,46,6,0.6667,0.0609,0.55745,0.797
32,9,40,3,0.6167,0.0628,0.50514,0.753
32,10,37,4,0.55,0.0642,0.43749,0.691
32,11,33,4,0.4833,0.0645,0.37208,0.628
32,12,29,5,0.4,0.0632,0.29341,0.545
32,14,24,1,0.3833,0.0628,0.2781,0.528
32,15,23,3,0.3333,0.0609,0.23306,0.477
32,16,20,2,0.3,0.0592,0.20383,0.442
32,17,17,1,0.2824,0.0583,0.18844,0.423
32,18,16,3,0.2294,0.0548,0.14369,0.366
32,19,13,1,0.2118,0.0533,0.12928,0.347
32,20,12,2,0.1765,0.0499,0.10135,0.307
32,21,10,4,0.1059,0.0406,0.04998,0.224
32,22,6,1,0.0882,0.0374,0.03841,0.203
32,23,5,1,0.0706,0.0339,0.02757,0.181
32,25,4,3,0.0176,0.0175,0.00254,0.123
32,27,1,1,0,0,0,0
