temperature,mean,std_error,trait,treatment
16,0.020265700333333334,0.006423044227228056,mdr,mdr
18,0.04423266633333334,5.43924676800055e-4,mdr,mdr
20,0.06025832083333334,2.73709655270619e-4,mdr,mdr
22,0.07561400833333333,4.519238213642985e-4,mdr,mdr
24,0.09091679083333333,4.945072383421984e-4,mdr,mdr
26,0.10336521333333333,7.619604890743205e-4,mdr,mdr
28,0.11796664,6.38784072418164e-4,mdr,mdr
30,0.12240349766666667,7.573498463677424e-4,mdr,mdr
32,0.12735827516666667,6.004924958841391e-4,mdr,mdr
34,0.12576427833333334,0.0012032307409250234,mdr,mdr
36,0,0,mdr,mdr
