"V1","V2"
0,1
5,0.966666666666667
6,0.933333333333333
9,0.9
10,0.866666666666667
13,0.833333333333333
16,0.8
17,0.733333333333333
18,0.7
20,0.666666666666667
24,0.666666666666667
25,0.631578947368421
26,0.526315789473684
27,0.491228070175439
29,0.456140350877193
30,0.421052631578947
31,0.385964912280702
32,0.350877192982456
35,0.280701754385965
39,0.245614035087719
40,0.210526315789474
41,0.175438596491228
44,0.140350877192982
45,0.105263157894737
46,0.0701754385964912
51,0.0350877192982456
58,0
