"V1","V2"
0,1
6,0.966666666666667
8,0.932142857142857
9,0.897619047619048
11,0.863095238095238
12,0.863095238095238
13,0.791170634920635
14,0.719246031746032
15,0.647321428571428
16,0.611359126984127
17,0.575396825396825
18,0.539434523809524
19,0.503472222222222
21,0.467509920634921
23,0.431547619047619
25,0.395585317460317
29,0.323660714285714
30,0.287698412698413
34,0.251736111111111
37,0.215773809523809
39,0.179811507936508
40,0.143849206349206
41,0.107886904761905
42,0.0719246031746032
44,0.0359623015873016
47,0
