"","blockvalues","treatment","lifevalues"
"1",1,16,49.5832112319903
"2",2,16,44.8277531134053
"3",1,20,47.6377605214462
"4",2,20,30.490849062298
"5",1,24,35.5796370338893
"6",2,24,24.5148107675023
"7",1,28,23.0362212510205
"8",2,28,16.0279851559107
"9",1,32,10.625109603203
"10",2,32,11.1318455536897
