"V1","V2"
0,1
12,0.966666666666667
13,0.932142857142857
14,0.897619047619048
16,0.863095238095238
22,0.828571428571429
23,0.725
27,0.69047619047619
28,0.621428571428571
31,0.586904761904762
33,0.552380952380952
37,0.517857142857143
38,0.483333333333333
41,0.448809523809524
45,0.414285714285714
46,0.379761904761905
47,0.345238095238095
49,0.276190476190476
51,0.241666666666667
52,0.207142857142857
53,0.172619047619048
55,0.138095238095238
57,0.103571428571429
58,0.0345238095238095
60,0.0345238095238095
